"original_filename","new_filename","recipe_id","status","timestamp"
"PXL_20260523_110859252.RAW-01.COVER.jpg","thai-peanut-sauce-jessica-hylton-20260523.jpg","wc-kitchen.thai-peanut-sauce-jessica-hylton","applied","2026-05-30T17:25:07Z"
"PXL_20260523_110902690.RAW-01.COVER.jpg","gochujang-roasted-carrots-20260523.jpg","wc-kitchen.gochujang-roasted-carrots","applied","2026-05-30T17:25:07Z"
"PXL_20260523_110917350.RAW-01.COVER.jpg","salmon-burgers-with-slaw-20260523.jpg","wc-kitchen.salmon-burgers-with-slaw","applied","2026-05-30T17:25:07Z"
"PXL_20260523_110922779.RAW-01.COVER.jpg","15-minute-miso-soup-with-greens-and-tofu-20260523.jpg","wc-kitchen.15-minute-miso-soup-with-greens-and-tofu","applied","2026-05-30T17:25:07Z"
"PXL_20260523_110943607.RAW-01.COVER.jpg","homemade-drop-biscuits-recipe-20260523.jpg","wc-kitchen.homemade-drop-biscuits-recipe","applied","2026-05-30T17:25:07Z"
"PXL_20260523_110959246.RAW-01.COVER.jpg","perfect-pot-roast-20260523.jpg","wc-kitchen.perfect-pot-roast","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111024790.RAW-01.COVER.jpg","actually-delicious-turkey-burgers-20260523.jpg","wc-kitchen.actually-delicious-turkey-burgers","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111028599.RAW-01.COVER.jpg","healthy-blueberry-muffins-20260523.jpg","wc-kitchen.healthy-blueberry-muffins","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111034020.RAW-01.COVER.jpg","grilled-broccoli-20260523.jpg","wc-kitchen.grilled-broccoli","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111039285.RAW-01.COVER.jpg","everyday-instant-pot-dal-20260523.jpg","wc-kitchen.everyday-instant-pot-dal","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111043636.RAW-01.COVER.jpg","instant-pot-baked-potato-soup-20260523.jpg","wc-kitchen.instant-pot-baked-potato-soup","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111048325.RAW-01.COVER.jpg","simple-zucchini-bread-20260523.jpg","wc-kitchen.simple-zucchini-bread","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111052575.RAW-01.COVER.jpg","fluffy-almond-flour-pancakes-20260523.jpg","wc-kitchen.fluffy-almond-flour-pancakes","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111055573.RAW-01.COVER.jpg","creamy-sriracha-mayo-recipe-20260523.jpg","wc-kitchen.creamy-sriracha-mayo-recipe","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111107474.RAW-01.COVER.jpg","chocolate-biscotti-20260523.jpg","wc-kitchen.chocolate-biscotti","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111122883.RAW-01.COVER.jpg","your-strawberry-jam-recipe-20260523.jpg","wc-kitchen.your-strawberry-jam-recipe","applied","2026-05-30T17:25:07Z"
"PXL_20260523_111129429.RAW-01.COVER.jpg","ball-realfruit-low-or-no-sugar-jam-20260523.jpg","wc-kitchen.ball-realfruit-low-or-no-sugar-jam","applied","2026-05-30T17:25:07Z"
"mideast-lentil.pdf","middle-eastern-lentil-soup-20260530.pdf","wc-kitchen.middle-eastern-lentil-soup","applied","2026-05-30T17:25:07Z"
"moist-chocolate-cake-ap.pdf","moist-chocolate-cake-20260530.pdf","wc-kitchen.moist-chocolate-cake","applied","2026-05-30T17:25:07Z"
